team_name,player_name,player_role,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,start,end,experience,cluster_id
Bangladesh,Hasan Mahmud,Bowler,20.0,12.0,4.0,45.0,15.0,5.62,92.0,48.91,0.0,0.0,3.0,6,0,2021,2023,2.0,0
Bangladesh,Shoriful Islam,Bowler,29.0,18.0,8.0,77.0,16.0,7.7,97.0,79.38,0.0,0.0,1.0,5,3,2021,2023,2.0,0
England,Jos Buttler,Wicketkeeper Batter,175.0,148.0,26.0,4928.0,162.0,40.39,4193.0,117.52,11.0,25.0,13.0,400,166,2012,2023,11.0,3
England,Moeen Ali,Batting Allrounder,135.0,109.0,15.0,2301.0,128.0,24.47,2335.0,98.54,3.0,6.0,6.0,197,77,2014,2023,9.0,2
England,Jonny Bairstow,Wicketkeeper Batter,104.0,95.0,8.0,3794.0,141.0,43.6,3679.0,103.12,11.0,16.0,8.0,428,91,2011,2023,12.0,2
England,Sam Curran,Allrounder,29.0,22.0,3.0,418.0,95.0,22.0,441.0,94.78,0.0,1.0,1.0,25,19,2018,2023,5.0,1
England,Liam Livingstone,Batting Allrounder,21.0,19.0,3.0,494.0,95.0,30.87,462.0,106.92,0.0,3.0,2.0,35,22,2021,2023,2.0,1
England,Dawid Malan,Top order Batter,27.0,27.0,4.0,1282.0,140.0,55.73,1311.0,97.78,6.0,5.0,5.0,131,29,2019,2023,4.0,1
England,Adil Rashid,Bowler,132.0,65.0,21.0,805.0,69.0,18.29,822.0,97.93,0.0,1.0,6.0,79,11,2009,2023,14.0,2
England,Joe Root,Top order Batter,168.0,157.0,23.0,6421.0,133.0,47.91,7392.0,86.86,16.0,38.0,9.0,513,49,2013,2023,10.0,3
England,Ben Stokes,Allrounder,111.0,96.0,15.0,3207.0,182.0,39.59,3369.0,95.19,4.0,22.0,7.0,263,98,2011,2023,12.0,2
England,Reece Topley,Bowler,29.0,14.0,11.0,35.0,15.0,11.66,70.0,50.0,0.0,0.0,1.0,3,1,2015,2023,8.0,0
England,David Willey,Bowling Allrounder,70.0,43.0,19.0,627.0,51.0,26.12,672.0,93.3,0.0,2.0,1.0,52,22,2015,2023,8.0,1
England,Mark Wood,Bowler,65.0,25.0,14.0,157.0,43.0,14.27,156.0,100.64,0.0,0.0,4.0,14,5,2015,2023,8.0,0
England,Chris Woakes,Allrounder,119.0,85.0,23.0,1437.0,95.0,23.17,1628.0,88.26,0.0,5.0,8.0,108,19,2011,2023,12.0,2
India,Rohit Sharma,Top order Batter,257.0,248.21999999999997,36.0,9747.419999999986,210.0,49.34,10987.89999999999,91.35,28.659999999999954,54.0,15.47999999999999,971,312,2007,2023,16.0,3
India,Hardik Pandya,Allrounder,86.0,61.0,9.0,1769.0,92.0,34.01,1603.0,110.35,0.0,11.0,4.0,132,67,2016,2023,7.0,1
India,Shubman Gill,Opening Batter,39.0,39.0,6.0,2021.0,208.0,57.478399999999986,1974.0,102.38,6.0,10.0,1.0,228,42,2019,2023,4.0,1
India,Virat Kohli,Top order Batter,261.43999999999994,248.21999999999997,43.0,9747.419999999986,183.0,57.478399999999986,10987.89999999999,93.63,28.659999999999954,54.739999999999995,15.47999999999999,1255,148,2008,2023,15.0,3
India,Shreyas Iyer,Top order Batter,53.0,48.0,5.0,1935.0,113.0,45.0,1998.0,96.84,3.0,15.0,1.0,188,40,2017,2023,6.0,1
India,KL Rahul,Wicketkeeper Batter,67.0,63.0,13.0,2507.0,112.0,50.14,2885.0,86.89,6.0,16.0,2.0,196,55,2016,2023,7.0,1
India,Ravindra Jadeja,Allrounder,192.0,129.0,45.219999999999985,2683.0,87.0,32.32,3179.0,84.39,0.0,13.0,6.0,195,52,2009,2023,14.0,2
